food_id,source_id,page_start,page_end,evidence_role,verification_status
F020,TTM-PRINCIPLE-001,6,6,principle,verified
F021,TTM-FOOD-001,7,7,primary,verified
F021,WORK-PARTNER-001,3,4,derived_note,review
F021,TTM-PRINCIPLE-001,6,6,principle,verified
F022,TTM-FOOD-001,7,7,primary,verified
F022,WORK-PARTNER-001,3,4,derived_note,review
F022,TTM-PRINCIPLE-001,6,6,principle,verified
F023,TTM-FOOD-001,7,7,primary,verified
F023,WORK-PARTNER-001,3,4,derived_note,review
F023,TTM-PRINCIPLE-001,6,6,principle,verified
F024,TTM-FOOD-001,7,7,primary,verified
F024,WORK-PARTNER-001,3,4,derived_note,review
F024,TTM-PRINCIPLE-001,6,6,principle,verified
F025,TTM-FOOD-001,7,7,primary,verified
F025,WORK-PARTNER-001,3,4,derived_note,review
F025,TTM-PRINCIPLE-001,6,6,principle,verified
F026,TTM-FOOD-001,7,7,primary,verified
F026,WORK-PARTNER-001,3,4,derived_note,review
F026,TTM-PRINCIPLE-001,6,6,principle,verified
F027,TTM-FOOD-001,7,7,primary,verified
F027,WORK-PARTNER-001,3,4,derived_note,review
F027,TTM-PRINCIPLE-001,6,6,principle,verified
F028,TTM-FOOD-001,7,7,primary,verified
F028,WORK-PARTNER-001,3,4,derived_note,review
F028,TTM-PRINCIPLE-001,6,6,principle,verified
F029,TTM-FOOD-001,7,7,primary,verified
F029,WORK-PARTNER-001,3,4,derived_note,review
F029,TTM-PRINCIPLE-001,6,6,principle,verified
F030,TTM-FOOD-001,7,7,primary,verified
F030,WORK-PARTNER-001,3,4,derived_note,review
F030,TTM-PRINCIPLE-001,6,6,principle,verified
F031,TTM-FOOD-001,7,7,primary,verified
F031,WORK-PARTNER-001,3,4,derived_note,review
F031,TTM-PRINCIPLE-001,6,6,principle,verified
F032,TTM-FOOD-001,7,7,primary,verified
F032,WORK-PARTNER-001,3,4,derived_note,review
F032,TTM-PRINCIPLE-001,6,6,principle,verified
F033,TTM-FOOD-001,7,7,primary,verified
F033,WORK-PARTNER-001,3,4,derived_note,review
F033,TTM-PRINCIPLE-001,6,6,principle,verified
F034,TTM-FOOD-001,7,7,primary,verified
F034,WORK-PARTNER-001,3,4,derived_note,review
F034,TTM-PRINCIPLE-001,6,6,principle,verified
F035,TTM-FOOD-001,7,7,primary,verified
F035,WORK-PARTNER-001,3,4,derived_note,review
F035,TTM-PRINCIPLE-001,6,6,principle,verified
F036,TTM-FOOD-001,7,7,primary,verified
F036,WORK-PARTNER-001,3,4,derived_note,review
F036,TTM-PRINCIPLE-001,6,6,principle,verified
F037,TTM-FOOD-001,7,7,primary,verified
F037,WORK-PARTNER-001,3,4,derived_note,review
F037,TTM-PRINCIPLE-001,6,6,principle,verified
F038,TTM-FOOD-001,7,7,primary,verified
F038,WORK-PARTNER-001,3,4,derived_note,review
F038,TTM-PRINCIPLE-001,6,6,principle,verified
F039,TTM-FOOD-001,7,7,primary,verified
F039,WORK-PARTNER-001,3,4,derived_note,review
F039,TTM-PRINCIPLE-001,6,6,principle,verified
F040,TTM-FOOD-001,7,7,primary,verified
F040,WORK-PARTNER-001,3,4,derived_note,review
F040,TTM-PRINCIPLE-001,6,6,principle,verified
F041,TTM-FOOD-001,7,7,primary,verified
F041,WORK-PARTNER-001,3,4,derived_note,review
F041,TTM-PRINCIPLE-001,6,6,principle,verified
F042,TTM-FOOD-001,7,7,primary,verified
F042,WORK-PARTNER-001,3,4,derived_note,review
F042,TTM-PRINCIPLE-001,6,6,principle,verified
F043,TTM-FOOD-001,7,7,primary,verified
F043,WORK-PARTNER-001,3,4,derived_note,review
F043,TTM-PRINCIPLE-001,6,6,principle,verified
F044,TTM-FOOD-001,7,7,primary,verified
F044,WORK-PARTNER-001,3,4,derived_note,review
F044,TTM-PRINCIPLE-001,6,6,principle,verified
F045,TTM-FOOD-001,7,7,primary,verified
F045,WORK-PARTNER-001,3,4,derived_note,review
F045,TTM-PRINCIPLE-001,6,6,principle,verified
F046,TTM-FOOD-001,7,7,primary,verified
F046,WORK-PARTNER-001,3,4,derived_note,review
F046,TTM-PRINCIPLE-001,6,6,principle,verified
F047,TTM-FOOD-001,7,7,primary,verified
F047,WORK-PARTNER-001,3,4,derived_note,review
F047,TTM-PRINCIPLE-001,6,6,principle,verified
F048,TTM-FOOD-001,7,7,primary,verified
F048,WORK-PARTNER-001,3,4,derived_note,review
F048,TTM-PRINCIPLE-001,6,6,principle,verified
F049,TTM-FOOD-001,7,7,primary,verified
F049,WORK-PARTNER-001,3,4,derived_note,review
F049,TTM-PRINCIPLE-001,6,6,principle,verified
F050,TTM-FOOD-001,7,7,primary,verified
F050,WORK-PARTNER-001,3,4,derived_note,review
F050,TTM-PRINCIPLE-001,6,6,principle,verified
F051,WORK-PARTNER-001,3,4,derived_note,review
F051,TTM-PRINCIPLE-001,6,6,principle,verified
F052,WORK-PARTNER-001,3,4,derived_note,review
F052,TTM-PRINCIPLE-001,6,6,principle,verified
F053,TTM-FOOD-001,6,6,primary,verified
F053,WORK-PARTNER-001,4,5,derived_note,review
F053,TTM-PRINCIPLE-001,6,6,principle,verified
F054,TTM-FOOD-001,6,6,primary,verified
F054,WORK-PARTNER-001,4,5,derived_note,review
F054,TTM-PRINCIPLE-001,6,6,principle,verified
F055,TTM-FOOD-001,6,6,primary,verified
F055,WORK-PARTNER-001,4,5,derived_note,review
F055,TTM-PRINCIPLE-001,6,6,principle,verified
F056,TTM-FOOD-001,6,6,primary,verified
F056,WORK-PARTNER-001,4,5,derived_note,review
F056,TTM-PRINCIPLE-001,6,6,principle,verified
F057,TTM-FOOD-001,6,6,primary,verified
F057,WORK-PARTNER-001,4,5,derived_note,review
F057,TTM-PRINCIPLE-001,6,6,principle,verified
F058,TTM-FOOD-001,6,6,primary,verified
F058,WORK-PARTNER-001,4,5,derived_note,review
F058,TTM-PRINCIPLE-001,6,6,principle,verified
F059,TTM-FOOD-001,6,6,primary,verified
F059,WORK-PARTNER-001,4,5,derived_note,review
F059,TTM-PRINCIPLE-001,6,6,principle,verified
F060,TTM-FOOD-001,6,6,primary,verified
F060,WORK-PARTNER-001,4,5,derived_note,review
F060,TTM-PRINCIPLE-001,6,6,principle,verified
F061,TTM-FOOD-001,6,6,primary,verified
F061,WORK-PARTNER-001,4,5,derived_note,review
F061,TTM-PRINCIPLE-001,6,6,principle,verified
F062,TTM-FOOD-001,6,6,primary,verified
F062,WORK-PARTNER-001,4,5,derived_note,review
F062,TTM-PRINCIPLE-001,6,6,principle,verified
F063,TTM-FOOD-001,6,6,primary,verified
F063,WORK-PARTNER-001,4,5,derived_note,review
F063,TTM-PRINCIPLE-001,6,6,principle,verified
F064,TTM-FOOD-001,6,6,primary,verified
F064,WORK-PARTNER-001,4,5,derived_note,review
F064,TTM-PRINCIPLE-001,6,6,principle,verified
F065,TTM-FOOD-001,6,6,primary,verified
F065,WORK-PARTNER-001,4,5,derived_note,review
F065,TTM-PRINCIPLE-001,6,6,principle,verified
F066,TTM-FOOD-001,6,6,primary,verified
F066,WORK-PARTNER-001,4,5,derived_note,review
F066,TTM-PRINCIPLE-001,6,6,principle,verified
F067,TTM-FOOD-001,6,6,primary,verified
F067,WORK-PARTNER-001,4,5,derived_note,review
F067,TTM-PRINCIPLE-001,6,6,principle,verified
F068,TTM-FOOD-001,6,6,primary,verified
F068,WORK-PARTNER-001,4,5,derived_note,review
F068,TTM-PRINCIPLE-001,6,6,principle,verified
F069,TTM-FOOD-001,6,6,primary,verified
F069,WORK-PARTNER-001,4,5,derived_note,review
F069,TTM-PRINCIPLE-001,6,6,principle,verified
F070,TTM-FOOD-001,6,6,primary,verified
F070,WORK-PARTNER-001,4,5,derived_note,review
F070,TTM-PRINCIPLE-001,6,6,principle,verified
F071,TTM-FOOD-001,6,6,primary,verified
F071,WORK-PARTNER-001,4,5,derived_note,review
F071,TTM-PRINCIPLE-001,6,6,principle,verified
F072,TTM-FOOD-001,6,6,primary,verified
F072,WORK-PARTNER-001,4,5,derived_note,review
F072,TTM-PRINCIPLE-001,6,6,principle,verified
F073,TTM-FOOD-001,6,6,primary,verified
F073,WORK-PARTNER-001,4,5,derived_note,review
F073,TTM-PRINCIPLE-001,6,6,principle,verified
F074,TTM-FOOD-001,6,6,primary,verified
F074,WORK-PARTNER-001,4,5,derived_note,review
F074,TTM-PRINCIPLE-001,6,6,principle,verified
F075,TTM-FOOD-001,6,6,primary,verified
F075,WORK-PARTNER-001,4,5,derived_note,review
F075,TTM-PRINCIPLE-001,6,6,principle,verified
F076,TTM-FOOD-001,6,6,primary,verified
F076,WORK-PARTNER-001,4,5,derived_note,review
F076,TTM-PRINCIPLE-001,6,6,principle,verified
F077,TTM-FOOD-001,6,6,primary,verified
F077,WORK-PARTNER-001,4,5,derived_note,review
F077,TTM-PRINCIPLE-001,6,6,principle,verified
F078,TTM-FOOD-001,6,6,primary,verified
F078,WORK-PARTNER-001,4,5,derived_note,review
F078,TTM-PRINCIPLE-001,6,6,principle,verified
F079,TTM-FOOD-001,6,6,primary,verified
F079,WORK-PARTNER-001,4,5,derived_note,review
F079,TTM-PRINCIPLE-001,6,6,principle,verified
F080,TTM-FOOD-001,6,6,primary,verified
F080,WORK-PARTNER-001,4,5,derived_note,review
F080,TTM-PRINCIPLE-001,6,6,principle,verified
F081,TTM-FOOD-001,6,6,primary,verified
F081,WORK-PARTNER-001,4,5,derived_note,review
F081,TTM-PRINCIPLE-001,6,6,principle,verified
F082,TTM-FOOD-001,6,6,primary,verified
F082,WORK-PARTNER-001,4,5,derived_note,review
F082,TTM-PRINCIPLE-001,6,6,principle,verified
F083,TTM-FOOD-001,6,6,primary,verified
F083,WORK-PARTNER-001,4,5,derived_note,review
F083,TTM-PRINCIPLE-001,6,6,principle,verified
F084,TTM-FOOD-001,6,6,primary,verified
F084,WORK-PARTNER-001,4,5,derived_note,review
F084,TTM-PRINCIPLE-001,6,6,principle,verified
F085,TTM-FOOD-001,6,6,primary,verified
F085,WORK-PARTNER-001,4,5,derived_note,review
F085,TTM-PRINCIPLE-001,6,6,principle,verified
F086,TTM-FOOD-001,6,6,primary,verified
F086,WORK-PARTNER-001,4,5,derived_note,review
F086,TTM-PRINCIPLE-001,6,6,principle,verified
F087,TTM-FOOD-001,6,6,primary,verified
F087,WORK-PARTNER-001,4,5,derived_note,review
F087,TTM-PRINCIPLE-001,6,6,principle,verified
F088,TTM-FOOD-001,6,6,primary,verified
F088,WORK-PARTNER-001,4,5,derived_note,review
F088,TTM-PRINCIPLE-001,6,6,principle,verified
F089,TTM-FOOD-001,6,6,primary,verified
F089,WORK-PARTNER-001,4,5,derived_note,review
F089,TTM-PRINCIPLE-001,6,6,principle,verified
F090,TTM-FOOD-001,6,6,primary,verified
F090,WORK-PARTNER-001,4,5,derived_note,review
F090,TTM-PRINCIPLE-001,6,6,principle,verified
F091,TTM-FOOD-001,6,6,primary,verified
F091,WORK-PARTNER-001,4,5,derived_note,review
F091,TTM-PRINCIPLE-001,6,6,principle,verified
F092,TTM-FOOD-001,6,6,primary,verified
F092,WORK-PARTNER-001,4,5,derived_note,review
F092,TTM-PRINCIPLE-001,6,6,principle,verified
F093,TTM-FOOD-001,6,6,primary,verified
F093,WORK-PARTNER-001,4,5,derived_note,review
F093,TTM-PRINCIPLE-001,6,6,principle,verified
F094,TTM-FOOD-001,6,6,primary,verified
F094,WORK-PARTNER-001,4,5,derived_note,review
F094,TTM-PRINCIPLE-001,6,6,principle,verified
F095,WORK-PARTNER-001,4,5,derived_note,review
F095,TTM-PRINCIPLE-001,6,6,principle,verified
F096,WORK-PARTNER-001,4,5,derived_note,review
F096,TTM-PRINCIPLE-001,6,6,principle,verified
F097,WORK-PARTNER-001,4,5,derived_note,review
F097,TTM-PRINCIPLE-001,6,6,principle,verified
F098,WORK-PARTNER-001,4,5,derived_note,review
F098,TTM-PRINCIPLE-001,6,6,principle,verified
F099,TTM-FOOD-001,4,4,primary,verified
F099,WORK-PARTNER-001,5,6,derived_note,review
F099,TTM-PRINCIPLE-001,6,6,principle,verified
F100,TTM-FOOD-001,4,4,primary,verified
F100,WORK-PARTNER-001,5,6,derived_note,review
F100,TTM-PRINCIPLE-001,6,6,principle,verified
F101,TTM-FOOD-001,4,4,primary,verified
F101,WORK-PARTNER-001,5,6,derived_note,review
F101,TTM-PRINCIPLE-001,6,6,principle,verified
F102,TTM-FOOD-001,4,4,primary,verified
F102,WORK-PARTNER-001,5,6,derived_note,review
F102,TTM-PRINCIPLE-001,6,6,principle,verified
F103,TTM-FOOD-001,4,4,primary,verified
F103,WORK-PARTNER-001,5,6,derived_note,review
F103,TTM-PRINCIPLE-001,6,6,principle,verified
F104,TTM-FOOD-001,4,4,primary,verified
F104,WORK-PARTNER-001,5,6,derived_note,review
F104,TTM-PRINCIPLE-001,6,6,principle,verified
F105,TTM-FOOD-001,4,4,primary,verified
F105,WORK-PARTNER-001,5,6,derived_note,review
F105,TTM-PRINCIPLE-001,6,6,principle,verified
F106,TTM-FOOD-001,4,4,primary,verified
F106,WORK-PARTNER-001,5,6,derived_note,review
F106,TTM-PRINCIPLE-001,6,6,principle,verified
F107,TTM-FOOD-001,4,4,primary,verified
F107,WORK-PARTNER-001,5,6,derived_note,review
F107,TTM-PRINCIPLE-001,6,6,principle,verified
F108,TTM-FOOD-001,4,4,primary,verified
F108,WORK-PARTNER-001,5,6,derived_note,review
F108,TTM-PRINCIPLE-001,6,6,principle,verified
F109,TTM-FOOD-001,4,4,primary,verified
F109,WORK-PARTNER-001,5,6,derived_note,review
F109,TTM-PRINCIPLE-001,6,6,principle,verified
F110,TTM-FOOD-001,4,4,primary,verified
F110,WORK-PARTNER-001,5,6,derived_note,review
F110,TTM-PRINCIPLE-001,6,6,principle,verified
F111,TTM-FOOD-001,4,4,primary,verified
F111,WORK-PARTNER-001,5,6,derived_note,review
F111,TTM-PRINCIPLE-001,6,6,principle,verified
F112,TTM-FOOD-001,4,4,primary,verified
F112,WORK-PARTNER-001,5,6,derived_note,review
F112,TTM-PRINCIPLE-001,6,6,principle,verified
F113,TTM-FOOD-001,4,4,primary,verified
F113,WORK-PARTNER-001,5,6,derived_note,review
F113,TTM-PRINCIPLE-001,6,6,principle,verified
F114,TTM-FOOD-001,4,4,primary,verified
F114,WORK-PARTNER-001,5,6,derived_note,review
F114,TTM-PRINCIPLE-001,6,6,principle,verified
F115,TTM-FOOD-001,4,4,primary,verified
F115,WORK-PARTNER-001,5,6,derived_note,review
F115,TTM-PRINCIPLE-001,6,6,principle,verified
F116,TTM-FOOD-001,4,4,primary,verified
F116,WORK-PARTNER-001,5,6,derived_note,review
F116,TTM-PRINCIPLE-001,6,6,principle,verified
F117,TTM-FOOD-001,4,4,primary,verified
F117,WORK-PARTNER-001,5,6,derived_note,review
F117,TTM-PRINCIPLE-001,6,6,principle,verified
F118,TTM-FOOD-001,4,4,primary,verified
F118,WORK-PARTNER-001,5,6,derived_note,review
F118,TTM-PRINCIPLE-001,6,6,principle,verified
F119,TTM-FOOD-001,4,4,primary,verified
F119,WORK-PARTNER-001,5,6,derived_note,review
F119,TTM-PRINCIPLE-001,6,6,principle,verified
F120,TTM-FOOD-001,4,4,primary,verified
F120,WORK-PARTNER-001,5,6,derived_note,review
F120,TTM-PRINCIPLE-001,6,6,principle,verified
F121,TTM-FOOD-001,4,4,primary,verified
F121,WORK-PARTNER-001,5,6,derived_note,review
F121,TTM-PRINCIPLE-001,6,6,principle,verified
F122,TTM-FOOD-001,4,4,primary,verified
F122,WORK-PARTNER-001,5,6,derived_note,review
F122,TTM-PRINCIPLE-001,6,6,principle,verified
F123,TTM-FOOD-001,4,4,primary,verified
F123,WORK-PARTNER-001,5,6,derived_note,review
F123,TTM-PRINCIPLE-001,6,6,principle,verified
F124,TTM-FOOD-001,4,4,primary,verified
F124,WORK-PARTNER-001,5,6,derived_note,review
F124,TTM-PRINCIPLE-001,6,6,principle,verified
F125,TTM-FOOD-001,4,4,primary,verified
F125,WORK-PARTNER-001,5,6,derived_note,review
F125,TTM-PRINCIPLE-001,6,6,principle,verified
F126,TTM-FOOD-001,4,4,primary,verified
F126,WORK-PARTNER-001,5,6,derived_note,review
F126,TTM-PRINCIPLE-001,6,6,principle,verified
F127,TTM-FOOD-001,4,4,primary,verified
F127,WORK-PARTNER-001,5,6,derived_note,review
F127,TTM-PRINCIPLE-001,6,6,principle,verified
F128,TTM-FOOD-001,4,4,primary,verified
F128,WORK-PARTNER-001,5,6,derived_note,review
F128,TTM-PRINCIPLE-001,6,6,principle,verified
F129,TTM-FOOD-001,4,4,primary,verified
F129,WORK-PARTNER-001,5,6,derived_note,review
F129,TTM-PRINCIPLE-001,6,6,principle,verified
F130,TTM-FOOD-001,4,4,primary,verified
F130,WORK-PARTNER-001,5,6,derived_note,review
F130,TTM-PRINCIPLE-001,6,6,principle,verified
F131,TTM-FOOD-001,4,4,primary,verified
F131,WORK-PARTNER-001,5,6,derived_note,review
F131,TTM-PRINCIPLE-001,6,6,principle,verified
F132,TTM-FOOD-001,4,4,primary,verified
F132,WORK-PARTNER-001,5,6,derived_note,review
F132,TTM-PRINCIPLE-001,6,6,principle,verified
F133,TTM-FOOD-001,4,4,primary,verified
F133,WORK-PARTNER-001,5,6,derived_note,review
F133,TTM-PRINCIPLE-001,6,6,principle,verified
F134,TTM-FOOD-001,4,4,primary,verified
F134,WORK-PARTNER-001,5,6,derived_note,review
F134,TTM-PRINCIPLE-001,6,6,principle,verified
F135,TTM-FOOD-001,4,4,primary,verified
F135,WORK-PARTNER-001,5,6,derived_note,review
F135,TTM-PRINCIPLE-001,6,6,principle,verified
F136,WORK-PARTNER-001,5,6,derived_note,review
F136,TTM-PRINCIPLE-001,6,6,principle,verified
F137,WORK-PARTNER-001,5,6,derived_note,review
F137,TTM-PRINCIPLE-001,6,6,principle,verified
F138,TTM-FOOD-001,5,5,primary,verified
F138,WORK-PARTNER-001,6,7,derived_note,review
F138,TTM-PRINCIPLE-001,6,6,principle,verified
F139,TTM-FOOD-001,5,5,primary,verified
F139,WORK-PARTNER-001,6,7,derived_note,review
F139,TTM-PRINCIPLE-001,6,6,principle,verified
F140,TTM-FOOD-001,5,5,primary,verified
F140,WORK-PARTNER-001,6,7,derived_note,review
F140,TTM-PRINCIPLE-001,6,6,principle,verified
F141,TTM-FOOD-001,5,5,primary,verified
F141,WORK-PARTNER-001,6,7,derived_note,review
F141,TTM-PRINCIPLE-001,6,6,principle,verified
F142,TTM-FOOD-001,5,5,primary,verified
F142,WORK-PARTNER-001,6,7,derived_note,review
F142,TTM-PRINCIPLE-001,6,6,principle,verified
F143,TTM-FOOD-001,5,5,primary,verified
F143,WORK-PARTNER-001,6,7,derived_note,review
F143,TTM-PRINCIPLE-001,6,6,principle,verified
F144,TTM-FOOD-001,5,5,primary,verified
F144,WORK-PARTNER-001,6,7,derived_note,review
F144,TTM-PRINCIPLE-001,6,6,principle,verified
F145,TTM-FOOD-001,5,5,primary,verified
F145,WORK-PARTNER-001,6,7,derived_note,review
F145,TTM-PRINCIPLE-001,6,6,principle,verified
F146,TTM-FOOD-001,5,5,primary,verified
F146,WORK-PARTNER-001,6,7,derived_note,review
F146,TTM-PRINCIPLE-001,6,6,principle,verified
F147,TTM-FOOD-001,5,5,primary,verified
F147,WORK-PARTNER-001,6,7,derived_note,review
F147,TTM-PRINCIPLE-001,6,6,principle,verified
F148,TTM-FOOD-001,5,5,primary,verified
F148,WORK-PARTNER-001,6,7,derived_note,review
F148,TTM-PRINCIPLE-001,6,6,principle,verified
F149,TTM-FOOD-001,5,5,primary,verified
F149,WORK-PARTNER-001,6,7,derived_note,review
F149,TTM-PRINCIPLE-001,6,6,principle,verified
F150,TTM-FOOD-001,5,5,primary,verified
F150,WORK-PARTNER-001,6,7,derived_note,review
F150,TTM-PRINCIPLE-001,6,6,principle,verified
F151,TTM-FOOD-001,5,5,primary,verified
F151,WORK-PARTNER-001,6,7,derived_note,review
F151,TTM-PRINCIPLE-001,6,6,principle,verified
F152,TTM-FOOD-001,5,5,primary,verified
F152,WORK-PARTNER-001,6,7,derived_note,review
F152,TTM-PRINCIPLE-001,6,6,principle,verified
F153,TTM-FOOD-001,5,5,primary,verified
F153,WORK-PARTNER-001,6,7,derived_note,review
F153,TTM-PRINCIPLE-001,6,6,principle,verified
F154,TTM-FOOD-001,5,5,primary,verified
F154,WORK-PARTNER-001,6,7,derived_note,review
F154,TTM-PRINCIPLE-001,6,6,principle,verified
F155,TTM-FOOD-001,5,5,primary,verified
F155,WORK-PARTNER-001,6,7,derived_note,review
F155,TTM-PRINCIPLE-001,6,6,principle,verified
F156,TTM-FOOD-001,5,5,primary,verified
F156,WORK-PARTNER-001,6,7,derived_note,review
F156,TTM-PRINCIPLE-001,6,6,principle,verified
F157,TTM-FOOD-001,5,5,primary,verified
F157,WORK-PARTNER-001,6,7,derived_note,review
F157,TTM-PRINCIPLE-001,6,6,principle,verified
F158,TTM-FOOD-001,5,5,primary,verified
F158,WORK-PARTNER-001,6,7,derived_note,review
F158,TTM-PRINCIPLE-001,6,6,principle,verified
F159,TTM-FOOD-001,5,5,primary,verified
F159,WORK-PARTNER-001,6,7,derived_note,review
F159,TTM-PRINCIPLE-001,6,6,principle,verified
F160,TTM-FOOD-001,5,5,primary,verified
F160,WORK-PARTNER-001,6,7,derived_note,review
F160,TTM-PRINCIPLE-001,6,6,principle,verified
F161,TTM-FOOD-001,5,5,primary,verified
F161,WORK-PARTNER-001,6,7,derived_note,review
F161,TTM-PRINCIPLE-001,6,6,principle,verified
F162,TTM-FOOD-001,5,5,primary,verified
F162,WORK-PARTNER-001,6,7,derived_note,review
F162,TTM-PRINCIPLE-001,6,6,principle,verified
F163,TTM-FOOD-001,5,5,primary,verified
F163,WORK-PARTNER-001,6,7,derived_note,review
F163,TTM-PRINCIPLE-001,6,6,principle,verified
F164,TTM-FOOD-001,5,5,primary,verified
F164,WORK-PARTNER-001,6,7,derived_note,review
F164,TTM-PRINCIPLE-001,6,6,principle,verified
F165,TTM-FOOD-001,5,5,primary,verified
F165,WORK-PARTNER-001,6,7,derived_note,review
F165,TTM-PRINCIPLE-001,6,6,principle,verified
F166,TTM-FOOD-001,5,5,primary,verified
F166,WORK-PARTNER-001,6,7,derived_note,review
F166,TTM-PRINCIPLE-001,6,6,principle,verified
F167,TTM-FOOD-001,5,5,primary,verified
F167,WORK-PARTNER-001,6,7,derived_note,review
F167,TTM-PRINCIPLE-001,6,6,principle,verified
F168,TTM-FOOD-001,5,5,primary,verified
F168,WORK-PARTNER-001,6,7,derived_note,review
F168,TTM-PRINCIPLE-001,6,6,principle,verified
F169,TTM-FOOD-001,5,5,primary,verified
F169,WORK-PARTNER-001,6,7,derived_note,review
F169,TTM-PRINCIPLE-001,6,6,principle,verified
F170,TTM-FOOD-001,5,5,primary,verified
F170,WORK-PARTNER-001,6,7,derived_note,review
F170,TTM-PRINCIPLE-001,6,6,principle,verified
F171,TTM-FOOD-001,5,5,primary,verified
F171,WORK-PARTNER-001,6,7,derived_note,review
F171,TTM-PRINCIPLE-001,6,6,principle,verified
F172,TTM-FOOD-001,5,5,primary,verified
F172,WORK-PARTNER-001,6,7,derived_note,review
F172,TTM-PRINCIPLE-001,6,6,principle,verified
F173,TTM-FOOD-001,5,5,primary,verified
F173,WORK-PARTNER-001,6,7,derived_note,review
F173,TTM-PRINCIPLE-001,6,6,principle,verified
F174,TTM-FOOD-001,5,5,primary,verified
F174,WORK-PARTNER-001,6,7,derived_note,review
F174,TTM-PRINCIPLE-001,6,6,principle,verified
F175,TTM-FOOD-001,5,5,primary,verified
F175,WORK-PARTNER-001,6,7,derived_note,review
F175,TTM-PRINCIPLE-001,6,6,principle,verified
F176,TTM-FOOD-001,5,5,primary,verified
F176,WORK-PARTNER-001,6,7,derived_note,review
F176,TTM-PRINCIPLE-001,6,6,principle,verified
F177,WORK-PARTNER-001,6,7,derived_note,review
F177,TTM-PRINCIPLE-001,6,6,principle,verified
F178,WORK-PARTNER-001,6,7,derived_note,review
F178,TTM-PRINCIPLE-001,6,6,principle,verified
F179,WORK-PARTNER-001,6,7,derived_note,review
F179,TTM-PRINCIPLE-001,6,6,principle,verified
F180,WORK-PARTNER-001,6,7,derived_note,review
F180,TTM-PRINCIPLE-001,6,6,principle,verified
F181,WORK-PARTNER-001,6,7,derived_note,review
F181,TTM-PRINCIPLE-001,6,6,principle,verified
F182,WORK-PARTNER-001,6,7,derived_note,review
F182,TTM-PRINCIPLE-001,6,6,principle,verified
F183,WORK-PARTNER-001,6,7,derived_note,review
F183,TTM-PRINCIPLE-001,6,6,principle,verified
