food_id,food_name_th,category,category_th,recommended_element,recommended_element_th,taste_profile,recommendation_status,reason_th,source_document_primary,source_page_primary,source_document_secondary,source_page_secondary,principle_source,principle_page,data_note
F011,สะตอ,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F012,ผักโขม,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F013,โสน,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F014,ขจร,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F015,ยอดฟักทอง,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F016,ลูกเหนียงนก,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F017,บวบเหลี่ยม,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F018,บวบงู,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F019,บวบหอม,vegetable_herb,ผักพื้นบ้าน/สมุนไพร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผักพื้นบ้าน/สมุนไพรสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F020,มังคุด,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F021,ฝรั่ง,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F022,ฟักทอง,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F023,เงาะ,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F024,เผือก,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F025,ถั่วต่าง ๆ,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F026,หัวมันเทศ,fruit,ผลไม้,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างผลไม้สำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F027,ผักกูดผัดน้ำมันงา,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F028,แกงป่า,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F029,ดอกงิ้วทอดไข่,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F030,กล้วยดิบ,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F031,คั่วขนุน,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F032,สะตอผัดกุ้ง,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F033,สมอไทยผัดน้ำมันหอย,menu,เมนูอาหาร,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างเมนูอาหารสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F034,เต้าส่วน,snack,อาหารว่าง,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างอาหารว่างสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F035,วุ้นกะทิ,snack,อาหารว่าง,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างอาหารว่างสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F036,กล้วยบวชชี,snack,อาหารว่าง,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างอาหารว่างสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
F037,แกงบวดฟักทอง,snack,อาหารว่าง,earth,ธาตุดิน,ฝาด|หวาน|มัน|เค็ม,recommended,"เอกสารจัดเป็นตัวอย่างอาหารว่างสำหรับผู้ที่มีแนวโน้มธาตุดิน ซึ่งควรเน้นรส ฝาด, หวาน, มัน, เค็ม",อาหารและสมุนไพรตามธาตุเจ้าเรือน.pdf,7,ธาตุเจ้าเรือน1(1).pdf,3-4,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน).pdf,6,ถอดตามหมวดที่เอกสารจัดไว้; taste_profile เป็นรสที่แนะนำประจำธาตุ ไม่ใช่การยืนยันว่าอาหารรายการนี้มีครบทุกรสดังกล่าว
